PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
445,KAPS3&4,NUCLEAR,WEST REGION,GUJARAT,ISGS,NPCIL,1400,1400,KAPS 3&4,
446,TPREL_RSP SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,TPREL,100,100,,
447,ESPL_RSP SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,ESPL,200,200,,
448,GIPCL_RSP SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,GIPCL,100,100,,
449,AWEKFL WIND (RATADIYA),WIND,WEST REGION,GUJARAT,RENEWABLE,AGEMPL,130,130,,
450,CPTTNPL WIND (DAYAPAR),WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,126,126,,
451,OEPL WIND (OSTRO KUTCH),WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,50,50,,
452,ASIPL WIND (BARANDA),WIND,WEST REGION,GUJARAT,RENEWABLE,Asipl wind,166,166,,
455,GSECL_RSP Solar,SOLAR,WEST REGION,GUJARAT,RENEWABLE,GSECL Solar,100,100,,
456,KAWAS SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,KAWAS SOLAR,56,56,,
457,POWERICA WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,POWERICA,50.6,50.6,,
458,SITAC WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,SITAC,300,300,,
459,SRIJAN WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Srijan,148.5,148.5,,
460,GANDHAR SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,NTPC Gandhar,20,20,,
474,LBC PANAM HYDRO,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,2,2,,
475,NETRA_KOTDA_BHUJ_W,WIND,WEST REGION,GUJARAT,RENEWABLE,Alfanar,119.3,119.3,,
477,Adani Wind Energy Kutchh Four Ltd,WIND,WEST REGION,GUJARAT,RENEWABLE,Adani,174.3,174.3,,
478,Apraava Energy Private Limited (AEPL),WIND,WEST REGION,GUJARAT,RENEWABLE,AEPL,138.6,138.6,,
479,Torrent Solargen Limited,WIND,WEST REGION,GUJARAT,RENEWABLE,Torrent Power (TPL),115,115,,
481,GSEC 2,SOLAR,WEST REGION,GUJARAT,RENEWABLE,GSECL_RSP,100,100,,
488,NTPC_REL_DYPR_BHUJ_W,WIND,WEST REGION,GUJARAT,RENEWABLE,NTPC,50,50,,
13,MAHAN ENERGEN,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Essar Mahan (EPMPL),1200,1200,MAHAN ENERGEN,
42,Amarkantak,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,210,210,Amarkantak U5,WRLDCMP.SCADA1.A0010209
43,BANASAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,
44,BANASAGAR TONS,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,315,315,,
45,BARGI,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,90,90,,
46,BIRSINGHPUR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,20,20,,
47,GANDHISAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,115,115,,
61,INDIRASAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1000,1000,,
63,J SAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,99,99,,
65,JP Nigrie,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Jaypee Nigire (JNSTPP),1320,1320,JPNIGRIE_JNSTPP,
73,Jhabua Power,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Jhabua Power,1200,1200,JHABUA_IPP,
81,MB Power,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Madhya Pradesh,1200,1200,MBMP,
90,OMKARESHWAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,520,520,,
91,PENCH,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,160,160,,
94,Sanjay Gandhi TPS,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1340,1340,"Sanjay Gandhi U 1,2,3,4$Sanjay Gandhi U5","WRLDCMP.SCADA1.A0010797,
WRLDCMP.SCADA1.A0010800,
WRLDCMP.SCADA1.A0010803,
WRLDCMP.SCADA1.A0010806,WRLDCMP.SCADA1.A0010809"
95,Sasan,COAL,WEST REGION,MADHYA PRADESH,ISGS,SASAN_UMPP (SPL),3960,3960,SASAN,
99,Singaji,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,2520,2520,"Singhaji U  1,2$Singhaji U3,4","WRLDCMP.SCADA1.A0009812, 
WRLDCMP.SCADA1.A0009815,WRLDCMP.SCADA3.A0112526,
WRLDCMP.SCADA3.A0112529"
134,JP BINA,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,500,500,"JP BINA U1,2",WRLDCMP.SCADA1.A0049504
157,MP_Solar,SOLAR,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1610,1610,,
158,MP Wind,WIND,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,2428,2428,,
164,VSTPS I,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1260,1260,VSTPS I,
165,VSTPS II,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1000,1000,VSTPS II,
166,VSTPS III,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1000,1000,VSTPS III,
167,VSTPS IV,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1000,1000,VSTPS IV,
168,VSTPS V,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,500,500,VSTPS V,
189,OSTRO WIND,WIND,WEST REGION,MADHYA PRADESH,RENEWABLE,Madhya Pradesh,250,250,,
190,GADARWARA,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1600,1600,GADARWARA-I,
440,Khargone,COAL,WEST REGION,MADHYA PRADESH,ISGS,NTPC,1320,1320,KHARGONE-I,
454,Satpura IV,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,500,500,"Satpura IV U-10,11","WRLDCMP.SCADA3.A0100873, 
WRLDCMP.SCADA3.A0100876"
461,AWEMP1PL_PTNGR_IDR_W,WIND,WEST REGION,MADHYA PRADESH,RENEWABLE,SBESS  Wind,324,324,,
464,BLA IPP,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,90,90,BLA I$BLA II,"WRLDCMP.SCADA1.A0010620,WRLDCMP.SCADA3.A0107527"
465,BSGR(DEVLONE),HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,
466,BSGR(SILPARA),HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,30,30,,
467,Jhinna,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,20,20,,
468,Madikheada,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,
471,Rajghat Hydro,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,45,45,,
473,MP CHAMBAL,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,386,386,,
482,Masaya Solar,SOLAR,WEST REGION,MADHYA PRADESH,RENEWABLE,MSEPL(Mayasa solar),250,250,,
1,APML Tiroda,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,ATIL-Adani,3300,3300,APL Tirora,"WRLDCMP.SCADA1.A0035948,WRLDCMP.SCADA1.A0035951,WRLDCMP.SCADA1.A0035954,WRLDCMP.SCADA1.A0035977,WRLDCMP.SCADA1.A0035980"
4,BHIRA,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,150,150,,
6,BHIRA PSS,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,150,150,,
8,BHIRA TR,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,80,80,,
9,BHIVPURI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,75,75,,
