PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,,
39,KOYNA III,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,320,320,,,
40,KOYNA ST-IV,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,1000,1000,,,
135,ESSAR IPP,COAL,WEST REGION,GUJARAT,STATE_IPP,Gujarat,701,701,,,
1,APML Tiroda,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,ATIL-Adani,3300,3300,,,
4,BHIRA,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,150,150,,,
6,BHIRA PSS,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,150,150,,,
8,BHIRA TR,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,80,80,,,
9,BHIVPURI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,75,75,,,
11,Bhusawal,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1210,1210,,,
14,Chandrapur,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,3340,3340,,,
17,Dahanu,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,ADTPS,500,500,,,
20,HASDEO BANGO,HYDRO,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,120,120,,,
23,KORBA EAST EXT(DSPM),COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,500,500,,,
24,KORBA(E),COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,440,440,,,
26,KORBA(W) CSPGCL,COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1340,1340,,,
27,GHATGHAR,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,250,250,,,
28,GOM HYDRO,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,38,38,,,
30,IEPL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,IEPL,540,540,,,
32,Jaigad,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1200,1200,,,
33,KHOPOLI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,72,72,,,
37,KOYNA DPH,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,40,40,,,
41,Khaparkheda,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1340,1340,,,
42,Amarkantak,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,450,450,,,
43,BANASAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,,
44,BANASAGAR TONS,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,315,315,,,
45,BARGI,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,90,90,,,
46,BIRSINGHPUR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,20,20,,,
47,GANDHISAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,115,115,,,
48,Koradi,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2610,2610,,,
51,PARLI,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,750,750,,,
53,PIONEER(262+127),LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,388,388,,,
54,PIONEER(262+127) GT-1,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,262,262,,,
55,PIONEER(262+127) ST-1,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,127,127,,,
56,Paras,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,500,500,,,
58,RATTAN INDIA POWER (N),COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Rattan India (RIPL),540,540,,,
61,INDIRASAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1000,1000,,,
63,J SAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,99,99,,,
64,TILLARI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,66,66,,,
66,TROMBAY,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,930,930,,,
69,Uran,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,672,672,,,
70,VAITHARNA 1,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,60,60,,,
71,VIPL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,600,600,,,
72,SWPGL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,540,540,,,
77,Marwa TPS,COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1000,1000,,,
80,MADHIKHEDA HEP,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,,
88,ALTPS,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,250,250,,,
89,APL Mundra,COAL,WEST REGION,GUJARAT,STATE_OWNED,APL-Adani,4620,4620,,,
90,OMKARESHWAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,520,520,,,
91,PENCH,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,160,160,,,
92,R P SAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,129,129,,,
93,RIHAND,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,300,300,,,
94,Sanjay Gandhi TPS,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1340,1340,,,
96,Satpura II,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,830,830,,,
99,Singaji,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,2520,2520,,,
103,BLTPS,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,,,
105,DGBP,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,594,594,,,
106,VADINAR,COAL,WEST REGION,GUJARAT,STATE_OWNED,EPGL-Gujarat,1200,1200,,,
107,GIPCL STG,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,145,145,,,
108,GPEC,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,655,655,,,
109,GPPC,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,702,702,,,
110,GSEC,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,507,507,,,
114,Hazira(Extn),COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,351,351,,,
116,KLTPS,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,290,290,,,
117,Kadana,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,240,240,,,
118,OPGS,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,300,300,,,
120,SLPP,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,,,
123,STPS,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,740,740,,,
124,SUGEN 1,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1147.5,1147.5,,,
125,UKAI,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1350,1350,,,
126,UKAI HYDRO,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,300,300,,,
127,UNOSUGEN,LNG,WEST REGION,GUJARAT,STATE_OWNED,Torrent Power (TPL),382.5,382.5,,,
128,UTRAN STG II,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,375,375,,,
129,Utran Stg,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,405,405,,,
130,Wanakbori,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,2270,2270,,,
134,JP BINA,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,500,500,,,
137,NASIK,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1050,1050,,,
140,LBC Panam,COAL,WEST REGION,GUJARAT,STATE_OWNED,ACBIL,660,660,,,
141,PVT Hydro,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,20.6,20.6,,,
144,Rajghat,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,ACBIL,765,765,,,
145,Satpura,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,4590,4590,,,
146,Gujarat Solar,SOLAR,WEST REGION,GUJARAT,STATE_OWNED,ACBIL,6332,6332,,,
147,GEPL,COAL,WEST REGION,GOA,STATE_OWNED,GOA (GED),24,24,,,
148,GSPL,WIND,WEST REGION,GOA,STATE_OWNED,GOA (GED),24,24,,,
149,SSL,SOLAR,WEST REGION,GOA,STATE_OWNED,ACBIL,30,30,,,
151,AECO,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,462,462,,,
152,ESSAR POWER GAS,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,515,515,,,
154,GUJARAT WIND,WIND,WEST REGION,GUJARAT,STATE_OWNED,ACBIL,6998,6998,,,
155,Chatisgarh Solar,SOLAR,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,507,507,,,
156,Chatisgarh Wind,WIND,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,0,0,,,
157,MP_Solar,SOLAR,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1610,1610,,,
158,MP Wind,WIND,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,2428,2428,,,
169,Solar,SOLAR,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2957,2957,,,
171,Gandhinagar(GTPS),COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1050,1050,,,
172,IB Amaravati,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,RIPL,1350,1350,,,
192,GIPCL STG 2,LNG,WEST REGION,GUJARAT,STATE_OWNED,GSECL,165,165,,,
194,GSEC STG 2,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,351,351,,,
453,Satpura III,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,420,420,,,
454,Satpura IV,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,500,500,,,
462,Hydro VTRNA,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,"BALCO,Maharashtra",60,60,,,
463,TATA Hydro,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,447,447,,,
464,BLA IPP,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,90,90,,,
465,BSGR(DEVLONE),HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,,
466,BSGR(SILPARA),HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,30,30,,,
467,Jhinna,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,20,20,,,
468,Madikheada,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,,
469,KWB MINI MICRO,HYDRO,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1.7,1.7,,,
470,HydroSMLHY_PTN,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,350,350,,,
471,Rajghat Hydro,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,45,45,,,
473,MP CHAMBAL,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,386,386,,,
474,LBC PANAM HYDRO,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,2,2,,,
